name	img	year	Жанры	rating	Длительность	type
Ловушка	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5510094.jpg alt="img" width="100" />	2024	криминал, триллер	6.4	01:45	Фильм
Любовь. Смерть. Роботы	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1228254.jpg alt="img" width="100" />	2019	боевик, комедия, криминал, мультфильм, триллер, ужасы, фантастика, фэнтези	8.3	00:15	Сериал
Манускрипт ниндзя	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/8233.jpg alt="img" width="100" />	1993	аниме, боевик, мультфильм, фэнтези	7.9	01:31	Мульт
Манускрипт ниндзя: Новая глава	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/229886.jpg alt="img" width="100" />	2003	аниме, боевик, мультфильм, фэнтези	6.8	00:24	Аниме-сериал
Марс Экспресс	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5304408.jpg alt="img" width="100" />	2023	боевик, детектив, мультфильм, фантастика	7.6	01:28	Мульт
Меган: К вашим услугам	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5237443.jpg alt="img" width="100" />	2024	триллер, фантастика	5.7	01:46	Фильм
Мир Дикого Запада	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/195523.jpg alt="img" width="100" />	2016	детектив, драма, фантастика	7.8	01:02	Сериал
Мистика, юные девы и загадочное исчезновение	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/6385677.jpg alt="img" width="100" />	2024	аниме, детектив, мультфильм, фэнтези	null	00:23	Аниме-сериал
Моб Психо 100	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1002686.jpg alt="img" width="100" />	2016	аниме, боевик, комедия, мультфильм, фантастика	8.3	00:24	Аниме
Молот и болтер (мини–сериал)	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4644331.jpg alt="img" width="100" />	2021	боевик, мультфильм, ужасы, фантастика	7.3	00:20	Мульт-сериал
Моя геройская академия	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/975897.jpg alt="img" width="100" />	2016	аниме, боевик, комедия, мультфильм, фантастика	7.5	00:23	Аниме-сериал
Мы — Миллеры	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/582170.jpg alt="img" width="100" />	2013	комедия, криминал	7.2	01:50	Фильм
Нарко	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/821565.jpg alt="img" width="100" />	2015	драма, криминал	8.4	00:50	Сериал
Не пойман – не вор	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/103785.jpg alt="img" width="100" />	2006	детектив, драма, криминал, триллер	7.8	02:09	Фильм
Некст	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1245515.jpg alt="img" width="100" />	2020	драма, криминал, фантастика	6.7	00:43	Сериал
Неоновый демон	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/623721.jpg alt="img" width="100" />	2016	драма, триллер, ужасы	6.1	01:57	Фильм
Непобедимый	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1171895.jpg alt="img" width="100" />	2021	боевик, драма, мультфильм, приключения, триллер, фантастика, фэнтези	8.1	00:50	Мульт-сериал
Несносный дед	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/780451.jpg alt="img" width="100" />	2013	комедия	6.2	01:42	Фильм
Нигдегород и его окрестности	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1377929.jpg alt="img" width="100" />	2019	комедия, мультфильм, фантастика, фэнтези	7.7	00:22	Мульт-сериал
Обитель Анубиса	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/581768.jpg alt="img" width="100" />	2011	детектив, драма, мелодрама, приключения, семейный, триллер, ужасы, фэнтези	7.2	00:22	Сериал
Облачный атлас	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/464484.jpg alt="img" width="100" />	2012	боевик, детектив, драма, приключения, фантастика	7.8	02:52	Фильм
[Образцовая «Семья шпиона»](https://media.2x2tv.ru/spy-family/)	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4686248.jpg alt="img" width="100" />	2022	аниме, боевик, комедия, мультфильм	8.1	00:24	Аниме-сериал
Одноклассники	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/450345.jpg alt="img" width="100" />	2010	комедия	6.8	01:42	Фильм
Окулус	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/680499.jpg alt="img" width="100" />	2013	триллер, ужасы	6.5	01:45	Фильм
Олдбой	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/75871.jpg alt="img" width="100" />	2003	детектив, драма, криминал, триллер	8.1	02:00	Фильм
Оно приходит за тобой	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/804697.jpg alt="img" width="100" />	2014	ужасы	6.3	01:40	Фильм
Операция «Фортуна»: Искусство побеждать	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1405508.jpg alt="img" width="100" />	2022	боевик, комедия	7.1	01:54	Фильм
Оставь мир позади	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4511543.jpg alt="img" width="100" />	2023	драма, триллер, фантастика	6.6	02:20	Фильм
Остаться в живых	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/104122.jpg alt="img" width="100" />	2004	детектив, драма, приключения, триллер, фантастика, фэнтези	8.1	00:43	Сериал
Отель Хазбин	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1322678.jpg alt="img" width="100" />	2019	драма, комедия, криминал, мультфильм, мюзикл, ужасы, фэнтези	7.7	00:32	Мульт-сериал
Паранормальное явление	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/404366.jpg alt="img" width="100" />	2007	детектив, ужасы	6.6	01:26	Фильм
Первобытный	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1263399.jpg alt="img" width="100" />	2019	боевик, мультфильм, приключения, фэнтези	8.5	00:22	Мульт-сериал
Перерождение дяди	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4901752.jpg alt="img" width="100" />	2022	аниме, комедия, мультфильм, фэнтези	7.5	00:24	Аниме-сериал
Периферийные устройства	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1320895.jpg alt="img" width="100" />	2022	фантастика	7	01:00	Сериал
Плохие парни	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/3908.jpg alt="img" width="100" />	1995	боевик, комедия, криминал	7.7	01:59	Фильм
Побег	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/258048.jpg alt="img" width="100" />	2005	боевик, детектив, драма, криминал, триллер	8.4	00:43	Сериал
[Поднятие уровня в одиночку](https://animego.online/2746-podnjatie-urovnja-v-odinochku-y3.html)	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5230828.jpg alt="img" width="100" />	2024	аниме, боевик, мультфильм, фэнтези	8.2	00:23	Аниме-сериал
Последний самурай	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/6764.jpg alt="img" width="100" />	2003	боевик, драма	8.1	02:34	Фильм
Престиж	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/195334.jpg alt="img" width="100" />	2006	детектив, драма, триллер, фантастика	8.5	02:10	Фильм
Приколисты	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/409348.jpg alt="img" width="100" />	2009	драма, комедия	6.1	02:26	Фильм
Проповедник с пулеметом	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/497015.jpg alt="img" width="100" />	2011	биография, боевик, драма, криминал	6.9	02:09	Фильм
Прослушка	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/402955.jpg alt="img" width="100" />	2002	драма, криминал, триллер	8.5	01:00	Сериал
Разделение	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1343318.jpg alt="img" width="100" />	2022	детектив, драма, триллер, фантастика	8.2	00:50	Сериал
Реальные кабаны	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/220619.jpg alt="img" width="100" />	2007	боевик, комедия, приключения	6.6	01:40	Фильм
Реинкарнация	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1112132.jpg alt="img" width="100" />	2018	детектив, драма, ужасы	6.4	02:07	Фильм
Реинкарнация безработного: История о приключениях в другом мире	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1312253.jpg alt="img" width="100" />	2021	аниме, комедия, мультфильм, приключения, фэнтези	8.1	00:23	Аниме-сериал
Рим	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/257386.jpg alt="img" width="100" />	2005	боевик, военный, драма, история, мелодрама	8.4	00:55	Сериал
Ритуал	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1007990.jpg alt="img" width="100" />	2017	ужасы	6.2	01:34	Фильм
Русалка на суше	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/859919.jpg alt="img" width="100" />	2019	триллер, ужасы, фэнтези	4.8	01:31	Фильм
Самая опасная игра	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1322881.jpg alt="img" width="100" />	2020	боевик, триллер	6.7	00:07	Сериал
Санктум	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/462669.jpg alt="img" width="100" />	2010	драма, приключения, триллер	6.7	01:49	Фильм
Связь	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/760829.jpg alt="img" width="100" />	2012	драма, триллер, фантастика	7	01:29	Фильм
Семь самураев	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/332.jpg alt="img" width="100" />	1954	боевик, драма	8.2	03:27	Фильм
Синистер	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/590022.jpg alt="img" width="100" />	2012	ужасы	6.7	01:50	Фильм
[Скейт: Бесконечность](https://jut.su/sk8-infinity/)	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4468017.jpg alt="img" width="100" />	2021	аниме, комедия, мультфильм, приключения, спорт	7.8	00:23	Аниме-сериал
Созданный в Бездне	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1047593.jpg alt="img" width="100" />	2017	аниме, мультфильм, приключения, фантастика, фэнтези	8.2	00:25	Аниме-сериал
Сопрано	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/79848.jpg alt="img" width="100" />	1999	драма, криминал	8.8	00:55	Сериал
Социальная дилемма	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1337788.jpg alt="img" width="100" />	2020	документальный, драма	7.2	01:34	Фильм
Социальная сеть	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/427198.jpg alt="img" width="100" />	2010	биография, драма	7.7	02:00	Фильм
Спартак: Кровь и песок	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/469619.jpg alt="img" width="100" />	2010	биография, боевик, драма, мелодрама, приключения	8.3	00:52	Сериал
[Становясь волшебницей](https://animedia.onl/56-stanovjas-volshebnicej.html)	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5593838.jpg alt="img" width="100" />	2024	аниме, боевик, комедия, мультфильм, фэнтези	7.3	00:23	Аниме-сериал
Страшные сказки	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/782994.jpg alt="img" width="100" />	2014	драма, ужасы, фэнтези	7.4	01:00	Сериал
Стрипперелла	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/178718.jpg alt="img" width="100" />	2003	боевик, комедия, криминал, мультфильм	5.6	00:22	Мульт-сериал
Схватка	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/571.jpg alt="img" width="100" />	1995	боевик, драма, криминал	8	02:51	Фильм
Тайна красной планеты	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/441432.jpg alt="img" width="100" />	2011	боевик, мультфильм, приключения, семейный, фантастика	6.1	01:28	Мульт
Там, на неведомых дорожках...	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/42201.jpg alt="img" width="100" />	1982	семейный, фэнтези	8.4	01:09	Фильм
Твин Пикс	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/84358.jpg alt="img" width="100" />	1990	детектив, драма, криминал, триллер, фантастика	8.4	00:47	Сериал
Тед Лассо	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1309707.jpg alt="img" width="100" />	2020	комедия, спорт	8.5	00:30	Сериал
Телохранитель	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/445.jpg alt="img" width="100" />	1961	боевик, драма, криминал, триллер	8	01:50	Фильм
Тёмное наследие	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1208499.jpg alt="img" width="100" />	2020	детектив, драма, триллер	6.4	01:51	Фильм
Теория больших денег	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5134244.jpg alt="img" width="100" />	2023	детектив, драма, криминал	6.9	00:40	Сериал
Тихоокеанский рубеж	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/546915.jpg alt="img" width="100" />	2013	боевик, приключения, фантастика	7	02:11	Фильм
Токсичный мститель	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/507758.jpg alt="img" width="100" />	2023	боевик, комедия, ужасы, фантастика	5.9	01:42	Фильм
Убить Билла: Кровавое дело целиком	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1000020.jpg alt="img" width="100" />	2006	боевик, криминал, триллер	8.2	04:07	Фильм
Убить или быть убитым	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/789249.jpg alt="img" width="100" />	2013	аниме, боевик, комедия, мультфильм, приключения, фантастика	7.8	00:25	Аниме-сериал
Убойный футбол	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/833.jpg alt="img" width="100" />	2001	боевик, комедия, спорт	7	01:25	Фильм
Фарго	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/767379.jpg alt="img" width="100" />	2014	драма, криминал, триллер	8.3	00:53	Сериал
Фишер	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/4443734.jpg alt="img" width="100" />	2023	детектив, драма, криминал, триллер	7.9	01:00	Сериал
Фрэнк	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/506058.jpg alt="img" width="100" />	2013	драма, комедия	7	01:35	Фильм
Харли Квинн	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1112514.jpg alt="img" width="100" />	2019	боевик, детектив, комедия, криминал, мультфильм, приключения, фантастика, фэнтези	8.2	00:22	Мульт-сериал
Хитмэн: Агент 47	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/737668.jpg alt="img" width="100" />	2015	боевик, криминал, триллер, фантастика	5.7	01:36	Фильм
Хроники призрачного племени	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/919866.jpg alt="img" width="100" />	2015	боевик, приключения, фэнтези	5.6	01:58	Фильм
Царство падальщиков	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/5002282.jpg alt="img" width="100" />	2023	драма, мультфильм, приключения, фантастика	8.3	00:24	Мульт-сериал
Части тела	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/161194.jpg alt="img" width="100" />	2003	драма	7.8	00:43	Сериал
Человек-дьявол: Плакса	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/1042560.jpg alt="img" width="100" />	2018	аниме, боевик, мультфильм, ужасы, фэнтези	7.4	00:25	Аниме-сериал
Черное зеркало	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/655800.jpg alt="img" width="100" />	2011	детектив, драма, триллер, ужасы, фантастика	8.5	00:43	Сериал
Черные паруса	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/714095.jpg alt="img" width="100" />	2014	боевик, драма, приключения	7.7	01:00	Сериал
Шары ярости	<img src=https://kinopoiskapiunofficial.tech/images/posters/kp/196671.jpg alt="img" width="100" />	2007	комедия, криминал, мелодрама, спорт	5.8	01:30	Фильм
